name,gt,pred,frames,PSNR,SSIM,LPIPS,CSIM
in_distr_0,gt_in_distr_video_0.mp4,in_distr_0.mp4,49,29.037695521456286,0.9444795457684264,0.06274239392000802,0.9321016827408148
in_distr_1,gt_in_distr_video_1.mp4,in_distr_1.mp4,49,26.580211884017075,0.9423457992320158,0.06467542295553247,0.9485563173586008
in_distr_10,gt_in_distr_video_10.mp4,in_distr_10.mp4,49,22.423330145515713,0.8956119235681028,0.10694284843547004,0.9228948196586297
in_distr_11,gt_in_distr_video_11.mp4,in_distr_11.mp4,49,21.321021661422208,0.8876589208233113,0.10781032272747584,0.9051407940533697
in_distr_12,gt_in_distr_video_12.mp4,in_distr_12.mp4,49,25.60832817326027,0.9231603096942512,0.09554046164361799,0.9234202686621218
in_distr_13,gt_in_distr_video_13.mp4,in_distr_13.mp4,49,26.353350267571535,0.9168367276386339,0.08724834876401084,0.9243752080567029
in_distr_14,gt_in_distr_video_14.mp4,in_distr_14.mp4,49,23.267774988450974,0.8973551587182649,0.09541723747946779,0.8836255462802186
in_distr_15,gt_in_distr_video_15.mp4,in_distr_15.mp4,49,19.78491040071019,0.9139227964440171,0.08572257652270551,0.920059644446081
in_distr_16,gt_in_distr_video_16.mp4,in_distr_16.mp4,49,18.677564203215667,0.869842396706951,0.12447153282712917,0.9290397836237537
in_distr_17,gt_in_distr_video_17.mp4,in_distr_17.mp4,49,20.205812244505573,0.8782044709945211,0.11996765951721036,0.9231259603889621
in_distr_18,gt_in_distr_video_18.mp4,in_distr_18.mp4,49,19.557980570145244,0.8553231540991335,0.14730994038435877,0.9034917415404806
in_distr_19,gt_in_distr_video_19.mp4,in_distr_19.mp4,49,23.168501206839288,0.9064245734895978,0.09023787765478601,0.8943968220632903
in_distr_2,gt_in_distr_video_2.mp4,in_distr_2.mp4,49,27.521752146726996,0.9188359124319894,0.09882661905519817,0.9341520119686516
in_distr_20,gt_in_distr_video_20.mp4,in_distr_20.mp4,49,21.16540145589979,0.9015418400569838,0.09175423620154663,0.9173780302612149
in_distr_21,gt_in_distr_video_21.mp4,in_distr_21.mp4,49,22.339702551578892,0.9308512454130211,0.08723641262978923,0.9298523992908244
in_distr_22,gt_in_distr_video_22.mp4,in_distr_22.mp4,49,25.088562218477456,0.9191609961645943,0.09599840230479532,0.9158983534696151
